,index_No,PB,PlayerId,Level,PlayerTeam,LR,pos1,pos2,#,Name,Player,pt_No,pt,num_pt,pt_rate,spdP,SpinRate,pitY,pitX,AtBox,AVE,SLG,spdB_ave,spdB_max,brzY_ave,num_pt(Z-in),SWG(Z-in),MISS(Z-in),num_pt(Z-out),SWG(Z-out),MISS(Z-out)
3463,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",3,Slider,20,0.19607843137254902,130.82524717500002,2465.6757617499998,2.3719980499999997,-1.241616770000001,6,0.0,0.0,127.95836847500001,154.98162680000002,65.313499,8,0.875,0.42857142857142855,12,0.3333333333333333,0.25
3464,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",4,Curveball,9,0.08823529411764706,121.49296133333334,2604.5471676666666,-41.648845666666666,13.842040444444443,3,0.3333333333333333,0.3333333333333333,128.44394313333336,149.10512680000002,53.07602,4,1.0,0.0,5,0.4,1.0
3465,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",5,Splitter,8,0.0784313725490196,136.34802011250002,1420.1887638750002,19.979763825,-17.712794775,1,0.0,0.0,,,,2,1.0,0.5,6,0.3333333333333333,1.0
3466,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",6,ChangeUp,10,0.09803921568627451,127.40265362999999,1494.9636605,17.71537986,-27.4464653,1,0.0,0.0,118.8516007,118.8516007,4.853694,3,0.6666666666666666,0.5,7,0.2857142857142857,1.0
3467,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",9,all,102,1.0,138.38710598725493,2211.2480611470587,23.837483888235298,-10.022917196078431,25,0.2,0.28,129.06077339473686,155.4699559,65.313499,41,0.9024390243902439,0.1891891891891892,61,0.4262295081967213,0.5769230769230769
3468,653.0,Batter,31735112,NPB,YAK_SWA,Left,内野手,一塁手,#5,川端　慎吾,"Kawabata, Shingo",0,Fastball,15,0.7894736842105263,146.66303372000002,2290.2737276666667,51.85814029333333,13.710865813333333,4,0.25,0.25,137.55059955,152.3209891,30.237708,7,1.0,0.0,8,0.125,0.0
3469,653.0,Batter,31735112,NPB,YAK_SWA,Left,内野手,一塁手,#5,川端　慎吾,"Kawabata, Shingo",1,Sinker,2,0.10526315789473684,136.5590891,1994.1899695,24.339715100000003,39.483982499999996,1,0.0,0.0,144.145071,144.145071,-6.1823,0,,,2,0.5,0.0
3470,653.0,Batter,31735112,NPB,YAK_SWA,Left,内野手,一塁手,#5,川端　慎吾,"Kawabata, Shingo",2,Cutter,1,0.05263157894736842,139.7148984,2488.765791,11.469497,-7.5577954,0,,,,,,1,0.0,,0,,
3471,653.0,Batter,31735112,NPB,YAK_SWA,Left,内野手,一塁手,#5,川端　慎吾,"Kawabata, Shingo",6,ChangeUp,1,0.05263157894736842,140.75264,2258.889049,29.943704399999998,37.0197126,0,,,,,,0,,,1,0.0,
3472,653.0,Batter,31735112,NPB,YAK_SWA,Left,内野手,一塁手,#5,川端　慎吾,"Kawabata, Shingo",9,all,19,1.0,144.92269591578946,2267.902141789474,45.68235452631579,16.53120365263158,5,0.2,0.2,138.86949384,152.3209891,30.237708,8,0.875,0.0,11,0.18181818181818182,0.0
3473,654.0,Batter,91495130,NPM,MIN_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",0,Fastball,32,0.64,143.178069278125,2242.860892875,47.16735153124999,27.610500881249997,5,0.4,0.6,144.478320875,151.58761800000002,30.02748,18,0.4444444444444444,0.0,14,0.21428571428571427,0.0
3474,654.0,Batter,91495130,NPB,ORI_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",0,Fastball,6,0.375,144.03030751666668,2040.97264,43.9965592,32.65094646666667,2,0.5,0.5,144.68673940000002,151.18692120000003,14.066679,5,0.8,0.0,1,0.0,
3475,654.0,Batter,91495130,NPM,MIN_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",1,Sinker,3,0.06,135.44934293333333,1911.6966713333331,32.17365506666667,44.5575944,1,0.0,0.0,136.10492420000003,136.10492420000003,30.907865,1,1.0,0.0,2,0.0,
3476,654.0,Batter,91495130,NPB,ORI_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",1,Sinker,2,0.125,143.1804073,2104.290519,33.400619000000006,44.1457715,1,0.0,0.0,139.65143220000002,139.65143220000002,1.150712,1,1.0,0.0,1,0.0,
3477,654.0,Batter,91495130,NPM,MIN_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",2,Cutter,2,0.04,137.8664735,2454.626733,20.9015076,1.9387946999999994,0,,,,,,0,,,2,0.0,
3478,654.0,Batter,91495130,NPM,MIN_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",3,Slider,9,0.18,133.76042252222223,2273.6585560000003,22.74025875555556,-2.238750355555555,1,0.0,0.0,136.5774914,136.5774914,-12.20871,5,0.4,0.0,4,0.5,0.0
3479,654.0,Batter,91495130,NPB,ORI_BUF,Left,内野手,三塁手,#5,西野　真弘,"Nishino, Masahiro",3,Slider,2,0.125,127.18610380000001,2152.2101745,-1.8830035999999999,-34.850717700000004,0,,,,,,0,,,2,0.0,
